date,product_id,warehouse_id,supplier_id,region,units_sold,inventory_level,supplier_lead_time_days,reorder_point,safety_stock,order_quantity,unit_cost,unit_price,promotion_flag,stockout_flag,lost_sales_qty,demand_forecast,days_of_cover
2023-01-01,PRD_0001,WH_1,SUP_006,North,0,576,18,470,174,0,48.68,107.02,0,0,0,0.0,32.1
2023-01-01,PRD_0001,WH_2,SUP_006,South,0,273,16,374,138,0,48.68,107.02,0,0,0,0.0,17.1
2023-01-01,PRD_0001,WH_3,SUP_006,East,0,471,18,336,125,0,48.68,107.02,0,0,0,0.0,31.6
2023-01-01,PRD_0001,WH_4,SUP_006,West,0,421,18,297,110,0,48.68,107.02,0,0,0,0.0,35.6
2023-01-01,PRD_0001,WH_5,SUP_006,North,0,525,18,192,71,0,48.68,107.02,0,0,0,0.0,60.8
2023-01-01,PRD_0002,WH_1,SUP_001,North,0,426,5,20,3,0,11.94,23.87,0,0,0,0.0,1112.2
2023-01-01,PRD_0002,WH_2,SUP_001,South,0,323,5,20,2,0,11.94,23.87,0,0,0,0.0,1078.1
2023-01-01,PRD_0002,WH_3,SUP_001,East,0,598,5,20,2,0,11.94,23.87,0,0,0,0.0,2033.2
2023-01-01,PRD_0002,WH_4,SUP_001,West,0,604,5,20,2,0,11.94,23.87,0,0,0,0.0,2537.5
2023-01-01,PRD_0002,WH_5,SUP_001,North,0,312,5,20,1,0,11.94,23.87,0,0,0,0.0,1741.0
2023-01-01,PRD_0003,WH_1,SUP_007,North,0,624,22,20,3,0,21.67,38.92,0,0,0,0.0,1382.3
2023-01-01,PRD_0003,WH_2,SUP_007,South,0,364,22,20,2,0,21.67,38.92,0,0,0,0.0,1343.9
2023-01-01,PRD_0003,WH_3,SUP_007,East,0,596,22,20,2,0,21.67,38.92,0,0,0,0.0,2211.6
2023-01-01,PRD_0003,WH_4,SUP_007,West,0,673,22,20,2,0,21.67,38.92,0,0,0,0.0,2928.4
2023-01-01,PRD_0003,WH_5,SUP_007,North,0,492,22,20,1,0,21.67,38.92,0,0,0,0.0,3269.6
2023-01-01,PRD_0004,WH_1,SUP_002,North,0,517,25,20,3,0,35.14,62.03,0,0,0,0.0,1364.4
2023-01-01,PRD_0004,WH_2,SUP_002,South,0,483,25,20,2,0,35.14,62.03,0,0,0,0.0,1597.6
2023-01-01,PRD_0004,WH_3,SUP_002,East,0,340,25,20,2,0,35.14,62.03,0,0,0,0.0,1200.7
2023-01-01,PRD_0004,WH_4,SUP_002,West,0,426,25,20,2,0,35.14,62.03,0,0,0,0.0,1853.6
2023-01-01,PRD_0004,WH_5,SUP_002,North,0,459,25,20,1,0,35.14,62.03,0,0,0,0.0,2642.0
2023-01-01,PRD_0005,WH_1,SUP_008,North,0,541,14,20,1,0,42.45,89.76,0,0,0,0.0,3380.1
2023-01-01,PRD_0005,WH_2,SUP_008,South,0,495,14,20,1,0,42.45,89.76,0,0,0,0.0,3479.3
2023-01-01,PRD_0005,WH_3,SUP_008,East,0,336,14,20,1,0,42.45,89.76,0,0,0,0.0,2532.1
2023-01-01,PRD_0005,WH_4,SUP_008,West,0,319,14,20,1,0,42.45,89.76,0,0,0,0.0,4020.5
2023-01-01,PRD_0005,WH_5,SUP_008,North,0,279,14,20,0,0,42.45,89.76,0,0,0,0.0,4433.7
2023-01-01,PRD_0006,WH_1,SUP_002,North,0,380,25,21,6,0,5.33,11.18,0,0,0,0.0,491.6
2023-01-01,PRD_0006,WH_2,SUP_002,South,0,471,25,20,4,0,5.33,11.18,0,0,0,0.0,806.3
2023-01-01,PRD_0006,WH_3,SUP_002,East,0,305,25,20,4,0,5.33,11.18,0,0,0,0.0,586.7
2023-01-01,PRD_0006,WH_4,SUP_002,West,0,343,25,20,3,0,5.33,11.18,0,0,0,0.0,748.5
2023-01-01,PRD_0006,WH_5,SUP_002,North,0,480,25,20,2,0,5.33,11.18,0,0,0,0.0,1711.6
