order_id,customer_id,order_date,order_status,region,primary_warehouse_id,order_subtotal,discount_amount,shipping_cost,tax_amount,order_total,payment_method,promo_id,cancelled_date,cancel_reason
ORD_0000001,CUST_00001,2024-06-19,COMPLETE,West,WH_4,220.32,0.0,0.0,17.63,237.95,Debit Card,,,
ORD_0000002,CUST_00002,2024-11-22,PENDING,East,WH_3,100.66,0.3,0.0,8.03,108.39,PayPal,PRM10,,
ORD_0000003,CUST_00003,2024-06-01,COMPLETE,North,WH_1,42.35,0.0,6.99,3.39,52.73,Credit Card,,,
ORD_0000004,CUST_00004,2023-12-20,CLOSED,South,WH_2,109.09,0.22,0.0,8.71,117.58,Credit Card,PRM05,,
ORD_0000005,CUST_00004,2023-12-26,CLOSED,South,WH_2,41.99,0.08,6.99,3.35,52.25,Credit Card,PRM05,,
ORD_0000006,CUST_00004,2024-03-26,COMPLETE,South,WH_3,128.34,0.0,0.0,10.27,138.61,Credit Card,,,
ORD_0000007,CUST_00004,2024-04-19,COMPLETE,South,WH_2,94.55,0.0,0.0,7.56,102.11,Credit Card,,,
ORD_0000008,CUST_00004,2024-05-06,COMPLETE,South,WH_2,109.9,0.0,0.0,8.79,118.69,Klarna,,,
ORD_0000009,CUST_00004,2024-06-23,COMPLETE,South,WH_1,208.1,0.0,0.0,16.65,224.75,Credit Card,,,
ORD_0000010,CUST_00004,2024-07-05,PENDING,South,WH_3,44.64,0.0,6.99,3.57,55.2,Credit Card,,,
ORD_0000011,CUST_00005,2023-12-08,COMPLETE,East,WH_3,218.04,0.0,0.0,17.44,235.48,Klarna,,,
ORD_0000012,CUST_00005,2023-12-17,COMPLETE,East,WH_3,44.16,0.0,6.99,3.53,54.68,Credit Card,,,
ORD_0000013,CUST_00005,2023-12-20,COMPLETE,East,WH_3,41.98,0.0,6.99,3.36,52.33,Credit Card,,,
ORD_0000014,CUST_00005,2023-12-23,COMPLETE,East,WH_3,41.98,0.08,6.99,3.35,52.24,Credit Card,PRM05,,
ORD_0000015,CUST_00005,2024-01-15,COMPLETE,East,WH_3,411.8,0.0,0.0,32.94,444.74,Apple Pay,,,
ORD_0000016,CUST_00005,2024-03-05,COMPLETE,East,WH_1,159.17,0.0,0.0,12.73,171.9,Credit Card,,,
ORD_0000017,CUST_00005,2024-04-02,COMPLETE,East,WH_1,169.64,0.0,0.0,13.57,183.21,Credit Card,,,
ORD_0000018,CUST_00005,2024-05-12,COMPLETE,East,WH_3,219.86,0.0,0.0,17.59,237.45,PayPal,,,
ORD_0000019,CUST_00005,2024-05-21,COMPLETE,East,WH_2,304.01,0.0,0.0,24.32,328.33,Apple Pay,,,
ORD_0000020,CUST_00005,2024-06-03,PENDING,East,WH_3,84.7,0.0,0.0,6.78,91.48,Credit Card,,,
ORD_0000021,CUST_00005,2024-07-10,COMPLETE,East,WH_3,89.43,0.0,0.0,7.15,96.58,Credit Card,,,
ORD_0000022,CUST_00005,2024-07-13,CLOSED,East,WH_3,87.57,0.0,0.0,7.01,94.58,Debit Card,,,
ORD_0000023,CUST_00005,2024-07-06,COMPLETE,East,WH_3,49.96,0.0,6.99,4.0,60.95,Credit Card,,,
ORD_0000024,CUST_00005,2024-08-05,COMPLETE,East,WH_3,134.13,0.0,0.0,10.73,144.86,Credit Card,,,
ORD_0000025,CUST_00005,2024-08-15,COMPLETE,East,WH_3,128.33,0.0,0.0,10.27,138.6,Apple Pay,,,
ORD_0000026,CUST_00005,2024-11-18,COMPLETE,East,WH_3,122.22,0.36,0.0,9.75,131.61,PayPal,PRM10,,
ORD_0000027,CUST_00007,2024-07-22,COMPLETE,North,WH_1,119.26,0.3,0.0,9.52,128.48,Credit Card,PRM08,,
ORD_0000028,CUST_00007,2024-09-27,PENDING,North,WH_1,155.58,0.0,0.0,12.45,168.03,Credit Card,,,
ORD_0000029,CUST_00007,2024-12-08,COMPLETE,North,WH_1,128.34,0.0,0.0,10.27,138.61,Credit Card,,,
ORD_0000030,CUST_00009,2024-01-14,COMPLETE,South,WH_3,174.22,0.0,0.0,13.94,188.16,PayPal,,,
ORD_0000031,CUST_00009,2024-04-21,ON_HOLD,South,WH_2,64.02,0.0,6.99,5.12,76.13,Credit Card,,,
ORD_0000032,CUST_00009,2024-05-06,COMPLETE,South,WH_2,33.84,0.0,6.99,2.71,43.54,Apple Pay,,,
ORD_0000033,CUST_00009,2024-05-26,COMPLETE,South,WH_2,154.56,0.0,0.0,12.36,166.92,Debit Card,,,
ORD_0000034,CUST_00009,2024-06-18,COMPLETE,South,WH_1,99.82,0.0,0.0,7.99,107.81,PayPal,,,
ORD_0000035,CUST_00009,2024-07-27,COMPLETE,South,WH_4,98.1,0.25,0.0,7.83,105.68,PayPal,PRM08,,
ORD_0000036,CUST_00009,2024-12-30,COMPLETE,South,WH_1,172.94,0.34,0.0,13.81,186.41,Apple Pay,PRM11,,
ORD_0000037,CUST_00010,2023-10-05,COMPLETE,East,WH_3,156.92,0.0,0.0,12.55,169.47,PayPal,,,
ORD_0000038,CUST_00010,2023-10-12,COMPLETE,East,WH_3,48.28,0.0,6.99,3.86,59.13,Credit Card,,,
ORD_0000039,CUST_00010,2023-12-16,COMPLETE,East,WH_4,83.94,0.0,0.0,6.72,90.66,PayPal,,,
ORD_0000040,CUST_00011,2023-09-25,CLOSED,East,WH_4,108.59,0.0,0.0,8.69,117.28,Credit Card,,,
ORD_0000041,CUST_00011,2023-11-22,COMPLETE,East,WH_3,41.91,0.13,6.99,3.34,52.11,Klarna,PRM04,,
ORD_0000042,CUST_00011,2024-01-28,COMPLETE,East,WH_3,42.06,0.0,6.99,3.36,52.41,Credit Card,,,
ORD_0000043,CUST_00011,2024-01-31,COMPLETE,East,WH_3,42.07,0.0,6.99,3.37,52.43,Credit Card,,,
ORD_0000044,CUST_00011,2024-02-05,COMPLETE,East,WH_3,307.3,0.0,0.0,24.58,331.88,Credit Card,,,
ORD_0000045,CUST_00011,2024-04-19,ON_HOLD,East,WH_3,33.81,0.0,6.99,2.7,43.5,Credit Card,,,
ORD_0000046,CUST_00011,2024-04-25,COMPLETE,East,WH_2,219.66,0.0,0.0,17.57,237.23,Credit Card,,,
ORD_0000047,CUST_00011,2024-04-29,COMPLETE,East,WH_5,109.86,0.0,0.0,8.79,118.65,Credit Card,,,
ORD_0000048,CUST_00011,2024-05-10,COMPLETE,East,WH_3,372.06,0.0,0.0,29.76,401.82,PayPal,,,
