payment_id,order_id,payment_method,amount,status,transaction_date,failure_reason,refund_amount
PAY_0000001,ORD_0000001,Debit Card,237.95,Failed,2024-06-19,Insufficient funds,0.0
PAY_0000002,ORD_0000002,PayPal,108.39,Pending,2024-11-22,,0.0
PAY_0000003,ORD_0000003,Credit Card,52.73,Completed,2024-06-01,,0.0
PAY_0000004,ORD_0000004,Credit Card,117.58,Completed,2023-12-20,,0.0
PAY_0000005,ORD_0000005,Credit Card,52.25,Completed,2023-12-26,,0.0
PAY_0000006,ORD_0000006,Credit Card,138.61,Completed,2024-03-26,,0.0
PAY_0000007,ORD_0000007,Credit Card,102.11,Completed,2024-04-19,,0.0
PAY_0000008,ORD_0000008,Klarna,118.69,Completed,2024-05-06,,0.0
PAY_0000009,ORD_0000009,Credit Card,224.75,Completed,2024-06-23,,0.0
PAY_0000010,ORD_0000010,Credit Card,55.2,Pending,2024-07-05,,0.0
PAY_0000011,ORD_0000011,Klarna,235.48,Completed,2023-12-08,,0.0
PAY_0000012,ORD_0000012,Credit Card,54.68,Completed,2023-12-17,,0.0
PAY_0000013,ORD_0000013,Credit Card,52.33,Completed,2023-12-20,,0.0
PAY_0000014,ORD_0000014,Credit Card,52.24,Completed,2023-12-23,,0.0
PAY_0000015,ORD_0000015,Apple Pay,444.74,Completed,2024-01-15,,0.0
PAY_0000016,ORD_0000016,Credit Card,171.9,Partially Refunded,2024-03-05,,127.27
PAY_0000017,ORD_0000017,Credit Card,183.21,Completed,2024-04-02,,0.0
PAY_0000018,ORD_0000018,PayPal,237.45,Partially Refunded,2024-05-12,,210.97
PAY_0000019,ORD_0000019,Apple Pay,328.33,Completed,2024-05-21,,0.0
PAY_0000020,ORD_0000020,Credit Card,91.48,Pending,2024-06-03,,0.0
PAY_0000021,ORD_0000021,Credit Card,96.58,Completed,2024-07-10,,0.0
PAY_0000022,ORD_0000022,Debit Card,94.58,Completed,2024-07-13,,0.0
PAY_0000023,ORD_0000023,Credit Card,60.95,Completed,2024-07-06,,0.0
PAY_0000024,ORD_0000024,Credit Card,144.86,Completed,2024-08-05,,0.0
PAY_0000025,ORD_0000025,Apple Pay,138.6,Completed,2024-08-15,,0.0
PAY_0000026,ORD_0000026,PayPal,131.61,Completed,2024-11-18,,0.0
PAY_0000027,ORD_0000027,Credit Card,128.48,Completed,2024-07-22,,0.0
PAY_0000028,ORD_0000028,Credit Card,168.03,Pending,2024-09-27,,0.0
PAY_0000029,ORD_0000029,Credit Card,138.61,Completed,2024-12-08,,0.0
PAY_0000030,ORD_0000030,PayPal,188.16,Completed,2024-01-14,,0.0
PAY_0000031,ORD_0000031,Credit Card,76.13,Pending,2024-04-21,,0.0
PAY_0000032,ORD_0000032,Apple Pay,43.54,Completed,2024-05-06,,0.0
PAY_0000033,ORD_0000033,Debit Card,166.92,Completed,2024-05-26,,0.0
PAY_0000034,ORD_0000034,PayPal,107.81,Partially Refunded,2024-06-18,,83.97
PAY_0000035,ORD_0000035,PayPal,105.68,Partially Refunded,2024-07-27,,90.53
PAY_0000036,ORD_0000036,Apple Pay,186.41,Completed,2024-12-30,,0.0
PAY_0000037,ORD_0000037,PayPal,169.47,Completed,2023-10-05,,0.0
PAY_0000038,ORD_0000038,Credit Card,59.13,Partially Refunded,2023-10-12,,33.67
PAY_0000039,ORD_0000039,PayPal,90.66,Completed,2023-12-16,,0.0
PAY_0000040,ORD_0000040,Credit Card,117.28,Completed,2023-09-25,,0.0
PAY_0000041,ORD_0000041,Klarna,52.11,Completed,2023-11-22,,0.0
PAY_0000042,ORD_0000042,Credit Card,52.41,Completed,2024-01-28,,0.0
PAY_0000043,ORD_0000043,Credit Card,52.43,Partially Refunded,2024-01-31,,34.71
PAY_0000044,ORD_0000044,Credit Card,331.88,Partially Refunded,2024-02-05,,312.36
PAY_0000045,ORD_0000045,Credit Card,43.5,Pending,2024-04-19,,0.0
PAY_0000046,ORD_0000046,Credit Card,237.23,Completed,2024-04-25,,0.0
PAY_0000047,ORD_0000047,Credit Card,118.65,Completed,2024-04-29,,0.0
PAY_0000048,ORD_0000048,PayPal,401.82,Completed,2024-05-10,,0.0
PAY_0000049,ORD_0000049,Credit Card,26.3,Completed,2024-09-24,,0.0
PAY_0000050,ORD_0000050,PayPal,145.01,Completed,2024-09-29,,0.0
PAY_0000051,ORD_0000051,Credit Card,89.62,Completed,2023-05-17,,0.0
PAY_0000052,ORD_0000052,Credit Card,116.55,Completed,2023-06-03,,0.0
PAY_0000053,ORD_0000053,Klarna,349.79,Completed,2023-06-10,,0.0
PAY_0000054,ORD_0000054,Credit Card,120.79,Completed,2023-07-12,,0.0
PAY_0000055,ORD_0000055,Credit Card,70.7,Completed,2023-07-27,,0.0
PAY_0000056,ORD_0000056,Credit Card,423.77,Completed,2023-09-13,,0.0
PAY_0000057,ORD_0000057,Debit Card,117.18,Completed,2023-09-11,,0.0
PAY_0000058,ORD_0000058,Credit Card,117.08,Completed,2023-08-26,,0.0
PAY_0000059,ORD_0000059,PayPal,672.49,Completed,2023-10-18,,0.0
PAY_0000060,ORD_0000060,Klarna,216.0,Completed,2023-10-26,,0.0
PAY_0000061,ORD_0000061,PayPal,95.58,Completed,2024-01-22,,0.0
PAY_0000062,ORD_0000062,Credit Card,154.88,Partially Refunded,2024-03-25,,85.81
PAY_0000063,ORD_0000063,Credit Card,35.61,Refunded,2024-06-05,,10.96
PAY_0000064,ORD_0000064,Credit Card,118.91,Completed,2024-06-10,,0.0
PAY_0000065,ORD_0000065,Klarna,52.76,Refunded,2024-06-18,,27.53
PAY_0000066,ORD_0000066,Credit Card,52.83,Partially Refunded,2024-07-13,,39.97
PAY_0000067,ORD_0000067,Credit Card,118.86,Completed,2024-07-21,,0.0
PAY_0000068,ORD_0000068,Debit Card,178.75,Completed,2024-10-21,,0.0
PAY_0000069,ORD_0000069,Debit Card,160.88,Completed,2023-04-04,,0.0
PAY_0000070,ORD_0000070,Credit Card,115.98,Completed,2023-04-12,,0.0
PAY_0000071,ORD_0000071,Credit Card,70.56,Completed,2023-05-01,,0.0
PAY_0000072,ORD_0000072,Debit Card,116.62,Partially Refunded,2023-06-13,,81.66
PAY_0000073,ORD_0000073,PayPal,70.81,Completed,2023-07-11,,0.0
PAY_0000074,ORD_0000074,Credit Card,60.44,Completed,2023-08-25,,0.0
PAY_0000075,ORD_0000075,PayPal,66.03,Completed,2023-11-20,,0.0
PAY_0000076,ORD_0000076,Credit Card,235.74,Completed,2023-12-29,,0.0
