po_id,supplier_id,product_id,warehouse_id,order_date,expected_delivery_date,received_date,qty_ordered,qty_received,unit_cost,total_value,actual_lead_days,status
PO_000001,SUP_006,PRD_0001,WH_2,2023-01-01,2023-01-19,2023-01-17,594,594,49.35,29313.9,16,Received
PO_000002,SUP_006,PRD_0001,WH_1,2023-01-24,2023-02-11,2023-02-11,627,627,49.5,31036.5,18,Received
PO_000003,SUP_006,PRD_0001,WH_3,2023-02-09,2023-02-27,2023-02-16,450,450,47.45,21352.5,7,Received
PO_000004,SUP_006,PRD_0001,WH_4,2023-02-09,2023-02-27,2023-02-27,393,393,49.86,19594.98,18,Received
PO_000005,SUP_006,PRD_0001,WH_2,2023-03-25,2023-04-12,2023-04-17,498,498,48.12,23963.76,23,Received
PO_000006,SUP_006,PRD_0001,WH_1,2023-04-03,2023-04-21,2023-04-21,622,622,49.03,30496.66,18,Received
PO_000007,SUP_006,PRD_0001,WH_3,2023-04-11,2023-04-29,2023-04-22,452,452,48.46,21903.92,11,Received
PO_000008,SUP_006,PRD_0001,WH_4,2023-04-11,2023-04-29,2023-04-26,405,405,48.49,19638.45,15,Received
PO_000009,SUP_006,PRD_0001,WH_5,2023-04-12,2023-04-30,2023-05-12,262,262,48.96,12827.52,30,Received
PO_000010,SUP_004,PRD_0013,WH_2,2023-04-30,2023-05-07,2023-05-06,132,132,26.98,3561.36,6,Received
PO_000011,SUP_006,PRD_0001,WH_2,2023-05-09,2023-05-27,2023-05-19,493,493,48.86,24087.98,10,Received
PO_000012,SUP_004,PRD_0013,WH_1,2023-05-11,2023-05-18,,166,0,27.15,4506.9,,Cancelled
PO_000013,SUP_004,PRD_0013,WH_1,2023-05-12,2023-05-19,2023-05-19,176,176,26.86,4727.36,7,Received
PO_000014,SUP_006,PRD_0001,WH_1,2023-05-18,2023-06-05,2023-06-02,632,632,47.28,29880.96,15,Received
PO_000015,SUP_006,PRD_0001,WH_3,2023-05-23,2023-06-10,2023-06-04,462,462,47.29,21847.98,12,Received
PO_000016,SUP_004,PRD_0013,WH_2,2023-05-23,2023-05-30,2023-05-30,128,128,26.97,3452.16,7,Received
PO_000017,SUP_006,PRD_0001,WH_4,2023-05-24,2023-06-11,2023-06-14,398,398,47.86,19048.28,21,Received
PO_000018,SUP_006,PRD_0001,WH_5,2023-05-26,2023-06-13,,262,0,47.85,12536.7,,Cancelled
PO_000019,SUP_006,PRD_0001,WH_5,2023-05-27,2023-06-14,2023-06-04,269,269,48.27,12984.63,8,Received
PO_000020,SUP_004,PRD_0013,WH_1,2023-06-01,2023-06-08,2023-06-07,163,163,28.19,4594.97,6,Received
PO_000021,SUP_007,PRD_0015,WH_1,2023-06-08,2023-06-30,2023-07-29,180,180,35.56,6400.8,51,Received
PO_000022,SUP_004,PRD_0013,WH_5,2023-06-11,2023-06-18,2023-06-16,68,68,28.08,1909.44,5,Received
PO_000023,SUP_006,PRD_0001,WH_2,2023-06-14,2023-07-02,2023-06-26,493,493,47.85,23590.05,12,Received
PO_000024,SUP_006,PRD_0001,WH_1,2023-06-19,2023-07-07,2023-07-13,637,637,48.42,30843.54,24,Received
PO_000025,SUP_004,PRD_0013,WH_3,2023-06-21,2023-06-28,2023-07-04,118,118,27.57,3253.26,13,Received
PO_000026,SUP_004,PRD_0013,WH_2,2023-06-22,2023-06-29,2023-06-27,128,128,28.18,3607.04,5,Received
PO_000027,SUP_006,PRD_0001,WH_3,2023-06-24,2023-07-12,2023-07-14,453,453,50.13,22708.89,20,Received
PO_000028,SUP_006,PRD_0001,WH_4,2023-06-26,2023-07-14,2023-07-07,413,413,48.52,20038.76,11,Received
PO_000029,SUP_004,PRD_0013,WH_1,2023-06-26,2023-07-03,2023-07-03,167,167,28.23,4714.41,7,Received
PO_000030,SUP_006,PRD_0001,WH_5,2023-06-27,2023-07-15,2023-07-16,261,261,48.98,12783.78,19,Received
PO_000031,SUP_004,PRD_0013,WH_5,2023-06-29,2023-07-06,2023-07-07,66,66,27.99,1847.34,8,Received
PO_000032,SUP_002,PRD_0021,WH_1,2023-06-30,2023-07-25,2023-07-31,200,200,30.84,6168.0,31,Received
PO_000033,SUP_004,PRD_0013,WH_4,2023-07-07,2023-07-14,2023-07-29,104,104,26.76,2783.04,22,Received
PO_000034,SUP_004,PRD_0013,WH_2,2023-07-11,2023-07-18,2023-07-20,135,135,26.84,3623.4,9,Received
PO_000035,SUP_006,PRD_0001,WH_2,2023-07-12,2023-07-30,2023-07-24,506,506,49.97,25284.82,12,Received
PO_000036,SUP_004,PRD_0013,WH_1,2023-07-17,2023-07-24,2023-07-22,175,175,26.92,4711.0,5,Received
PO_000037,SUP_004,PRD_0013,WH_3,2023-07-18,2023-07-25,2023-07-23,120,120,27.01,3241.2,5,Received
PO_000038,SUP_006,PRD_0001,WH_1,2023-07-20,2023-08-07,2023-08-07,623,623,49.59,30894.57,18,Received
PO_000039,SUP_006,PRD_0001,WH_5,2023-07-22,2023-08-09,2023-08-05,253,253,49.9,12624.7,14,Received
PO_000040,SUP_006,PRD_0001,WH_3,2023-07-24,2023-08-11,2023-08-12,456,456,47.43,21628.08,19,Received
PO_000041,SUP_004,PRD_0013,WH_5,2023-07-25,2023-08-01,2023-07-30,66,43,27.27,1799.82,5,Partially Received
PO_000042,SUP_006,PRD_0001,WH_4,2023-07-27,2023-08-14,2023-08-17,398,398,47.53,18916.94,21,Received
PO_000043,SUP_007,PRD_0015,WH_3,2023-07-28,2023-08-19,2023-08-31,180,180,35.53,6395.4,34,Received
PO_000044,SUP_004,PRD_0013,WH_2,2023-07-30,2023-08-06,2023-08-08,129,129,27.64,3565.56,9,Received
PO_000045,SUP_002,PRD_0021,WH_2,2023-08-02,2023-08-27,2023-08-21,200,200,32.42,6484.0,19,Received
PO_000046,SUP_004,PRD_0013,WH_3,2023-08-03,2023-08-10,2023-08-08,118,118,26.74,3155.32,5,Received
PO_000047,SUP_006,PRD_0001,WH_2,2023-08-06,2023-08-24,2023-08-29,508,508,48.51,24643.08,23,Received
PO_000048,SUP_007,PRD_0015,WH_2,2023-08-06,2023-08-28,2023-09-05,180,180,36.47,6564.6,30,Received
PO_000049,SUP_004,PRD_0013,WH_4,2023-08-07,2023-08-14,2023-08-13,104,104,27.63,2873.52,6,Received
PO_000050,SUP_004,PRD_0013,WH_1,2023-08-09,2023-08-16,2023-08-17,170,170,27.11,4608.7,8,Received
PO_000051,SUP_004,PRD_0013,WH_5,2023-08-15,2023-08-22,2023-08-22,73,73,27.09,1977.57,7,Received
PO_000052,SUP_006,PRD_0001,WH_1,2023-08-17,2023-09-04,2023-09-10,623,623,49.31,30720.13,24,Received
PO_000053,SUP_006,PRD_0001,WH_5,2023-08-18,2023-09-05,2023-09-05,258,258,49.62,12801.96,18,Received
PO_000054,SUP_004,PRD_0013,WH_2,2023-08-18,2023-08-25,2023-08-25,129,129,27.93,3602.97,7,Received
PO_000055,SUP_006,PRD_0001,WH_3,2023-08-20,2023-09-07,2023-09-04,447,447,48.52,21688.44,15,Received
PO_000056,SUP_007,PRD_0015,WH_1,2023-08-21,2023-09-12,2023-09-03,180,180,36.73,6611.4,13,Received
PO_000057,SUP_004,PRD_0013,WH_3,2023-08-23,2023-08-30,2023-08-31,116,116,28.06,3254.96,8,Received
PO_000058,SUP_006,PRD_0001,WH_4,2023-08-25,2023-09-12,2023-09-01,408,408,49.78,20310.24,7,Received
PO_000059,SUP_004,PRD_0013,WH_4,2023-08-25,2023-09-01,2023-09-03,109,109,26.73,2913.57,9,Received
PO_000060,SUP_002,PRD_0021,WH_1,2023-08-26,2023-09-20,2023-09-13,200,200,31.14,6228.0,18,Received
PO_000061,SUP_004,PRD_0013,WH_1,2023-08-27,2023-09-03,,173,0,28.17,4873.41,,Cancelled
PO_000062,SUP_004,PRD_0013,WH_1,2023-08-28,2023-09-04,2023-09-03,177,177,27.64,4892.28,6,Received
PO_000063,SUP_006,PRD_0001,WH_2,2023-09-05,2023-09-23,2023-09-30,511,511,49.92,25509.12,25,Received
PO_000064,SUP_001,PRD_0007,WH_3,2023-09-05,2023-09-10,2023-09-09,50,50,26.36,1318.0,4,Received
PO_000065,SUP_004,PRD_0013,WH_2,2023-09-05,2023-09-12,2023-09-10,128,128,27.93,3575.04,5,Received
PO_000066,SUP_004,PRD_0013,WH_5,2023-09-05,2023-09-12,2023-09-12,66,66,28.01,1848.66,7,Received
PO_000067,SUP_004,PRD_0013,WH_3,2023-09-09,2023-09-16,2023-09-16,125,125,27.95,3493.75,7,Received
PO_000068,SUP_004,PRD_0013,WH_1,2023-09-13,2023-09-20,2023-09-21,173,173,27.73,4797.29,8,Received
PO_000069,SUP_004,PRD_0013,WH_4,2023-09-14,2023-09-21,2023-09-22,109,85,27.31,2976.79,8,Partially Received
PO_000070,SUP_006,PRD_0001,WH_3,2023-09-15,2023-10-03,2023-10-03,453,453,47.74,21626.22,18,Received
PO_000071,SUP_006,PRD_0001,WH_5,2023-09-15,2023-10-03,2023-10-01,266,266,49.74,13230.84,16,Received
PO_000072,SUP_006,PRD_0001,WH_1,2023-09-16,2023-10-04,2023-09-27,640,640,49.59,31737.6,11,Received
PO_000073,SUP_006,PRD_0001,WH_4,2023-09-19,2023-10-07,2023-10-11,399,257,49.31,19674.69,22,Partially Received
PO_000074,SUP_004,PRD_0013,WH_2,2023-09-20,2023-09-27,2023-09-28,130,130,27.57,3584.1,8,Received
PO_000075,SUP_001,PRD_0007,WH_3,2023-09-21,2023-09-26,2023-09-26,50,50,26.25,1312.5,5,Received
PO_000076,SUP_004,PRD_0013,WH_5,2023-09-22,2023-09-29,2023-09-27,66,66,28.37,1872.42,5,Received
PO_000077,SUP_004,PRD_0013,WH_3,2023-09-23,2023-09-30,2023-10-01,116,116,27.68,3210.88,8,Received
PO_000078,SUP_002,PRD_0021,WH_4,2023-09-26,2023-10-21,2023-10-11,200,200,32.39,6478.0,15,Received
PO_000079,SUP_004,PRD_0013,WH_1,2023-09-27,2023-10-04,2023-10-04,164,164,27.38,4490.32,7,Received
PO_000080,SUP_004,PRD_0013,WH_4,2023-09-28,2023-10-05,2023-10-05,113,113,27.12,3064.56,7,Received
PO_000081,SUP_001,PRD_0007,WH_4,2023-09-29,2023-10-04,2023-10-06,50,50,25.11,1255.5,7,Received
PO_000082,SUP_007,PRD_0015,WH_3,2023-10-05,2023-10-27,2023-10-19,180,180,35.43,6377.4,14,Received
PO_000083,SUP_002,PRD_0021,WH_2,2023-10-05,2023-10-30,2023-10-16,200,200,32.02,6404.0,11,Received
PO_000084,SUP_004,PRD_0013,WH_2,2023-10-06,2023-10-13,2023-10-14,133,133,27.61,3672.13,8,Received
PO_000085,SUP_006,PRD_0001,WH_2,2023-10-07,2023-10-25,2023-11-06,502,502,47.33,23759.66,30,Received
PO_000086,SUP_004,PRD_0013,WH_5,2023-10-07,2023-10-14,2023-10-13,73,73,27.69,2021.37,6,Received
PO_000087,SUP_006,PRD_0001,WH_3,2023-10-08,2023-10-26,2023-10-20,450,450,48.08,21636.0,12,Received
PO_000088,SUP_004,PRD_0013,WH_3,2023-10-08,2023-10-15,2023-10-13,116,116,26.85,3114.6,5,Received
PO_000089,SUP_006,PRD_0001,WH_1,2023-10-09,2023-10-27,2023-12-16,645,645,49.37,31843.65,68,Received
PO_000090,SUP_006,PRD_0001,WH_5,2023-10-10,2023-10-28,2023-10-29,255,255,49.39,12594.45,19,Received
PO_000091,SUP_007,PRD_0015,WH_1,2023-10-10,2023-11-01,2023-11-08,180,180,36.34,6541.2,29,Received
PO_000092,SUP_006,PRD_0001,WH_4,2023-10-11,2023-10-29,2023-11-06,456,456,49.71,22667.76,26,Received
PO_000093,SUP_007,PRD_0015,WH_2,2023-10-12,2023-11-03,2023-12-01,180,180,36.15,6507.0,50,Received
PO_000094,SUP_004,PRD_0013,WH_1,2023-10-13,2023-10-20,2023-10-19,163,163,26.94,4391.22,6,Received
PO_000095,SUP_001,PRD_0007,WH_3,2023-10-14,2023-10-19,2023-10-18,50,50,26.08,1304.0,4,Received
PO_000096,SUP_004,PRD_0013,WH_4,2023-10-14,2023-10-21,,105,0,27.21,2857.05,,Cancelled
PO_000097,SUP_004,PRD_0013,WH_4,2023-10-15,2023-10-22,2023-10-24,107,107,27.58,2951.06,9,Received
PO_000098,SUP_002,PRD_0021,WH_1,2023-10-15,2023-11-09,,200,0,31.1,6220.0,,Cancelled
PO_000099,SUP_002,PRD_0021,WH_1,2023-10-16,2023-11-10,2023-10-26,200,200,31.12,6224.0,10,Received
PO_000100,SUP_004,PRD_0013,WH_5,2023-10-22,2023-10-29,2023-10-28,68,68,27.08,1841.44,6,Received
PO_000101,SUP_004,PRD_0013,WH_2,2023-10-25,2023-11-01,2023-10-30,131,131,26.74,3502.94,5,Received
PO_000102,SUP_001,PRD_0007,WH_4,2023-10-26,2023-10-31,2023-10-30,50,50,24.9,1245.0,4,Received
