return_id,order_id,product_id,customer_id,return_date,quantity,reason,refund_amount,condition,restocked_flag
RET_0000001,ORD_0000016,PRD_0001,CUST_00005,2024-03-30,1,Wrong size / fit,107.02,Restock,1
RET_0000002,ORD_0000018,PRD_0001,CUST_00005,2024-06-10,1,Late delivery,107.02,Restock,1
RET_0000003,ORD_0000034,PRD_0007,CUST_00009,2024-07-07,1,Changed mind,48.49,Restock,1
RET_0000004,ORD_0000035,PRD_0018,CUST_00009,2024-08-06,1,Not as described,47.56,Restock,1
RET_0000005,ORD_0000038,PRD_0020,CUST_00010,2023-11-03,1,Wrong size / fit,47.54,Scrap,1
RET_0000006,ORD_0000043,PRD_0013,CUST_00011,2024-02-22,1,Not as described,41.18,Scrap,1
RET_0000007,ORD_0000044,PRD_0021,CUST_00011,2024-03-17,1,Changed mind,43.33,Restock,1
RET_0000008,ORD_0000062,PRD_0019,CUST_00014,2024-04-18,1,Wrong size / fit,32.95,Resell (open box),1
RET_0000009,ORD_0000066,PRD_0013,CUST_00014,2024-08-19,1,Wrong size / fit,41.18,Restock,1
RET_0000010,ORD_0000072,PRD_0001,CUST_00015,2023-07-11,1,Late delivery,107.02,Restock,1
RET_0000011,ORD_0000085,PRD_0013,CUST_00017,2023-10-13,1,Wrong size / fit,41.18,Restock,1
RET_0000012,ORD_0000087,PRD_0013,CUST_00019,2024-01-02,1,Wrong size / fit,41.18,Resell (open box),1
RET_0000013,ORD_0000089,PRD_0001,CUST_00019,2024-04-21,1,Defective / damaged,107.02,Restock,1
RET_0000014,ORD_0000095,PRD_0013,CUST_00020,2023-07-05,1,Not as described,41.18,Restock,1
RET_0000015,ORD_0000096,PRD_0013,CUST_00020,2023-09-19,1,Wrong size / fit,41.18,Resell (open box),1
RET_0000016,ORD_0000097,PRD_0021,CUST_00020,2023-12-04,1,Not as described,43.33,Restock,1
RET_0000017,ORD_0000101,PRD_0001,CUST_00020,2024-08-07,1,Changed mind,107.02,Scrap,1
RET_0000018,ORD_0000102,PRD_0013,CUST_00022,2023-08-18,1,Wrong size / fit,41.18,Restock,1
RET_0000019,ORD_0000103,PRD_0013,CUST_00022,2023-08-29,1,Wrong size / fit,41.18,Restock,1
RET_0000020,ORD_0000104,PRD_0007,CUST_00022,2023-11-22,1,Late delivery,48.49,Restock,1
RET_0000021,ORD_0000105,PRD_0013,CUST_00022,2023-11-16,1,Wrong size / fit,41.18,Restock,1
RET_0000022,ORD_0000116,PRD_0017,CUST_00024,2023-09-19,1,Wrong size / fit,35.67,Resell (open box),1
RET_0000023,ORD_0000118,PRD_0021,CUST_00025,2023-06-10,1,Wrong size / fit,43.33,Restock,1
RET_0000024,ORD_0000119,PRD_0013,CUST_00025,2023-08-21,1,Late delivery,41.18,Restock,1
RET_0000025,ORD_0000120,PRD_0018,CUST_00025,2023-08-17,1,Defective / damaged,47.56,Resell (open box),1
RET_0000026,ORD_0000125,PRD_0009,CUST_00025,2024-03-17,1,Wrong size / fit,25.76,Restock,1
RET_0000027,ORD_0000128,PRD_0013,CUST_00025,2024-09-02,1,Wrong size / fit,41.18,Restock,1
RET_0000028,ORD_0000135,PRD_0022,CUST_00026,2024-02-24,1,Changed mind,48.86,Restock,1
RET_0000029,ORD_0000138,PRD_0021,CUST_00027,2023-07-29,1,Changed mind,43.33,Restock,1
RET_0000030,ORD_0000139,PRD_0007,CUST_00027,2023-09-07,1,Wrong size / fit,48.49,Resell (open box),1
RET_0000031,ORD_0000144,PRD_0013,CUST_00028,2023-09-11,2,Wrong size / fit,82.36,Restock,1
RET_0000032,ORD_0000146,PRD_0013,CUST_00028,2024-01-21,1,Changed mind,41.18,Restock,1
RET_0000033,ORD_0000147,PRD_0008,CUST_00028,2024-07-22,2,Changed mind,126.44,Restock,1
RET_0000034,ORD_0000147,PRD_0013,CUST_00028,2024-08-02,1,Defective / damaged,41.18,Resell (open box),1
RET_0000035,ORD_0000165,PRD_0022,CUST_00033,2023-11-23,1,Changed mind,48.86,Scrap,1
RET_0000036,ORD_0000170,PRD_0001,CUST_00033,2024-07-19,1,Defective / damaged,107.02,Resell (open box),1
RET_0000037,ORD_0000170,PRD_0001,CUST_00033,2024-07-15,1,Wrong size / fit,107.02,Restock,1
RET_0000038,ORD_0000172,PRD_0018,CUST_00034,2024-05-28,1,Wrong size / fit,47.56,Restock,1
RET_0000039,ORD_0000174,PRD_0028,CUST_00034,2024-08-03,1,Wrong size / fit,17.28,Scrap,1
